166,25-34,Social Work,Social Worker,75000,0,CAD,Canada,Vancouver,8 - 10 years,2 - 4 years,College degree,Man
167,25-34,Computing or Tech,Software Developer,80000,20000,CAD,Canada,Toronto,2 - 4 years,2 - 4 years,College degree,Man
168,45-54,Computing or Tech,Software Developer,81000,5000,CAD,Canada,St. John's,11 - 20 years,11 - 20 years,College degree,Man
169,35-44,Computing or Tech,Software Developer,88000,0,CAD,Canada,Edmonton,11 - 20 years,11 - 20 years,College degree,Man
170,35-44,Computing or Tech,Software Developer,92000,15000,CAD,Canada,Winnipeg,11 - 20 years,11 - 20 years,College degree,Man
171,35-44,Computing or Tech,Software Developer,120000,20000,CAD,Canada,Calgary,11 - 20 years,11 - 20 years,College degree,Man
172,55-64,Computing or Tech,Software Developer,122000,5200,CAD,Canada,Toronto,31 - 40 years,31 - 40 years,College degree,Man
173,25-34,Computing or Tech,Software Developer - Team Lead,120000,0,CAD,Canada,Toronto,8 - 10 years,8 - 10 years,College degree,Man
174,45-54,Engineering or Manufacturing,Software Development Manager,350000,300000,CAD,Canada,Edmonton,21 - 30 years,21 - 30 years,College degree,Man
175,25-34,"Accounting, Banking & Finance",Software Engineer,95000,6500,CAD,Canada,Toronto,8 - 10 years,8 - 10 years,College degree,Man
176,25-34,Computing or Tech,Software Engineer,79500,0,CAD,Canada,Edmonton,5-7 years,2 - 4 years,College degree,Man
177,25-34,Computing or Tech,Software Engineer,145000,0,CAD,Canada,Toronto,8 - 10 years,5-7 years,College degree,Man
178,45-54,Computing or Tech,Software Engineer,150000,0,CAD,Canada,Victoria,11 - 20 years,11 - 20 years,College degree,Man
179,35-44,Computing or Tech,Software Engineer,343200,0,USD,Canada,Montreal,11 - 20 years,8 - 10 years,College degree,Man
180,35-44,Transport or Logistics,Solution Architect,109000,30000,CAD,Canada,Ottawa,11 - 20 years,11 - 20 years,College degree,Man
